Input,Output
coolpfost,coolprost
acrioml,acrimol
brnben,benben
darbpsis,darbosis
acsha,acosha
luphenazine,fluphenazine
ciftadiime,ciftadime
ranblock,danblock
bontid,bontis
aviflam,aviflam
aftercold,aftercold
amolwc,amolac
analtrq,analtra
cefganu,ceftanu
azsican,aziscan
buropn,buropin
bileccure,bilecure
cobidase,conidase
asizone,adizone
ntol,antol
azobold,azibold
gemisol,bemisol
vitirest,citirest
buauphan,busuphan
angibras,angibrad
cipznate,cipanate
ssthalin,asthalin
balyyl,balgyl
ahrlev,aurlev
bsnocof,banocof
cimcoacl,cimcocal
aticef,aticef
albet,alvet
acwz,acez
acokyp,acokryp
attser,atser
cehpatech,cephatech
acitrax,acutrax
azalfer,azalfed
chtosar,cytosar
ciadic,cinadic
antirpes,antipres
avel,avtel
joint,adjoint
caropne,caropen
culan,cupan
cefoens,cefones
crkzee,crizee
cetxaol,cetaxol
cevumed,cefumed
cyphps,cyphos
acpfen,acofen
ficagrelor,ticagrelor
addipostat,adipostat
azrlina,azelina
afoidn,afodin
cyclchek,cyclochek
betwmont,betamont
ajwodac,aiwodac
blwnda,blenda
alorr,alor
aceap,acecap
durtaz,durataz
brokkav,brokav
bentik,benrik
amlotop,amlotop
coxfen,cosfen
basocef,basicef
cuicda,cucida
crfunia,cefunia
cekna,ceknac
acaeter,acaster
chemoit,chemofit
bidaen,bidazen
anatriz,anatrix
netilmic,netilmicin
renzol,brenzol
dodetax,docetax
cugrid,cufrid
ciclomae,ciclomate
consticaoo,consticalo
aaptan,aptan
venkem,benkem
cloberod,cloberid
amnerve,aminerve
fowfomycin,fosfomycin
chexton,cheston
blesten,blexten
azosix,azosis
dioss,diosis
cpntra,contra
ceved,cefed
brivznext,brivanext
cardacr,cardace
dedox,cedox
velmycetine,belmycetine
xloprez,cloprez
brexim,brexime
btonac,bronac
aispas,azispas
zcenift,acenift
clacrin,clarcin
anaaid,ansaid
aelonac,aelonac
clavamoc,clavamox
adsomet,adzomet
cypriden,cyproden
canryhtm,canrythm
cetaric,cetariv
atcf,atcef
bkrncal,borncal
bromsoide,bromoside
afunem,acunem
conttal,contral
cilnjvib,cilnivib
bosentzs,bosentas
robeat,brobeat
aloglox,aloflox
desidusat,desidustat
adxole,adsole
bespponsa,besponsa
cidipind,cidipine
bruparinn,bruparin
xefybond,cefybond
amica,amiva
ayzeedon,ayzeecon
prenoxdazine,prenoxdiazine
abodos,abodox
aogicant,algicant
blazrxtin,blazextin
constvree,constfree
amora,amoraj
ntic,antic
cehmitol,chemitol
cefdiv,cefdic
bleoocol,bleocol
brotokzn,brotokan
cremqzen,cremazen
cepodayy,cepoday
azeof,azecof
btfet,btcet
abzot,abzit
asulate,asulate
clotrika,clotrima
accurste,accurate
azigreatt,azigreat
ccbesic,ccgesic
capovin,capofin
ceerlash,ceeflash
aciedz,acidez
cefatin,ceftain
adrisomee,adrisome
cytoheatr,cytoheart
biozenn,biozen
tijet,artijet
ceban,cebran
durannzo,duranzo
amacort,amzacort
arawid,arasid
crritizen,critizen
bbptan,bptan
avdark,advark
augmenfin,augmentin
dsekast,deskast
clonapaz,clonapax
cefudah,cefudan
acitrps,acitros
cytpp,cytop
ctinerve,actinerve
artigi,artigo
aloencef,allencef
blacipp,blacip
amcan,amcan
ariprice,aripride
ceroxjm,ceroxim
cipral,ciptal
aavce,avace
dyjulta,dynulta
augymoz,augymox
ccirocod,cirocod
adtigrain,actigrain
mraviroc,maraviroc
calecad,capecad
butrun,butrum
alrin,altin
aaijal,azijal
cbfod,cbfos
lyclpene,lycopene
vedon,cedon
clzvora,clavora
ciple,ciplen
akodux,amodux
clominovw,clominova
bromszl,bromsal
ceemlo,cemelo
caritor,carnitor
diflhcor,diflucor
pomix,cepomix
fnsert,cnsert
ael,axel
acudel,acudep
utic,autic
cwnt,cent
amtrsdol,amtradol
alonzsclav,alonzaclav
bronnac,bronac
cipos,cipros
avmira,avomira
benskl,bensil
anwell,answell
acezen,acezen
abiod,abipod
ccospel,cospel
candilloss,candiloss
colbetol,clobetol
anodinee,anodine
byceg,bycet
defosun,cefosun
adifiine,adifine
cyprltis,cyprotis
aef,atef
enitowa,benitowa
awnaax,awnatax
azidox,azidix
bakacim,bakacin
ceffinoa,ceffinova
betnovte,betnovate
cadvzst,cadvast
bacomac,baclomac
azeelast,azelast
atburbi,abturbi
ceptrxo,ceptrox
butesome,butesone
stakare,atakare
cegliv,cetliv
bunidr,bunide
avvidoxime,avidoxime
alprasip,alprasil
aziivio,azivio
clavsun,clavsun
acivat,acibat
cuurirex,curirex
lomefloxacih,lomefloxacin
ciprobarf,ciprobard
cefnqte,cefnate
asgodefza,astodefza
nactisan,bactisan
dextrothyrixine,dextrothyroxine
bereycan,berrycan
ctridide,ctriside
aziitus,azitus
cepjaxain,cephaxain
bsndit,bendit
apqrt,apart
bloil,bloxil
betagwsic,betagesic
bsnexa,benexa
chondroittin,chondroitin
ancoljn,ancolin
augviin,augvin
alkasp,alkasyp
aceeliv,aceliv
diabdnd,diabend
amoxyll,amoxyllin
clomid,clomiday
audktrox,auditrox
dapacheco,dapacheck
adutus,acutus
lumedantrine,lumefantrine
agidlam,agiflam
zceprime,aceprime
xasitra,casitra
mylo,cemylo
dooxorubicin,doxorubicin
afkaza,aflaza
cefihexxa,cefihexa
vecoril,cecoril
colisrot,colidrot
cefixim,cefixum
cappra,calpra
ctrzte,ctrate
stco,atco
alviasfe,alvisafe
citmin,citmind
avilanta,avipanta
amwzeo,amazeo
depsonio,depsonil
fitoflam,citoflam
sxcipro,axcipro
daclkzumab,daclizumab
cigoage,citoage
brrotuxx,brotuxx
argaa,argaba
abropuil,abrophil
anazer,amazer
cyporic,cyporid
xivon,divon
cardioloo,cardiolol
cegax,cefax
fliphenazine,fluphenazine
brtuus,brutus
dapdea,dapcea
aatipod,astipod
coaventia,claventia
azomin,azomin
dexayp,dexacyp
apkocidd,apkocid
calmhir,calmnir
clopacg,clopact
ccepotech,cepotech
cadceg,cadcef
divaxxee,divaxee
ambroefr,ambrofer
atjecort,atnecort
chcip,cgcip
cecoap,cefoap
amlxil,amoxil
aufus,augus
artakin,artamin
afdefhro,afdethro
dell,cell
xasacold,casacold
cloris,clodis
bayutlox,bayuflox
curazpi,curazip
afpood,afpod
dapnaat,dapnat
fcgesic,ccgesic
bacpan,baclan
alked,alked
cetwwis,cetwis
addxone,adexone
qctofenal,actofenal
aseeta,azeeta
abespas,avespas
cpressin,cpressin
acefek,acerek
acicut,acicute
curwmite,curemite
boogalin,biogalin
amliva,amlica
asllac,asolac
aricqm,aricam
uretox,curetox
carifod,clarifod
aatozol,atozol
caenifast,carnifast
cifroxiime,cifroxime
asdey,asdry
acnerrin,acnetrin
cilasute,cilasure
aaaxone,azaxone
aspas,avspas
asfpox,asflox
abikka,abika
ckanem,clanem
anicon,anicob
chymotrows,chymotross
cihlox,cinlox
becklloket,beckloket
arcoyx,arconyx
cipcoft,cipcort
cfearel,cefarel
amlovpiz,amlovoiz
ardpod,addpod
carvenits,carvenita
cefgrade,cefgrace
ceftnu,ceftanu
crolih,crolin
celptin,celotin
autotroh,autotron
triamterwne,triamterene
cetfop,ceftop
moonobenzone,monobenzone
aceclogllob,acecloglob
artbodia,arthodia
fypor,cypor
cofdeex,cofdex
axosppin,axospin
clolifine,clopifine
cleglip,celglip
aaithromat,azithromat
allxet,allset
cetzyy,cetzy
seveamer,sevelamer
flinka,clinka
scupip,acupip
ctevo,cetvo
alyjef,alymef
aloedderm,aloederm
ecfomex,cefomex
ala,alwa
aldripo,aldripod
cbymovex,chymovex
cupdose,cipdose
cefoolac,cefolac
angllspas,anglospas
ehawk,acehawk
achr,ache
clnich,clinch
anril,anril
flonogem,clonogem
abliine,abline
afogatfan,afogatran
bemocoagulase,hemocoagulase
astiipod,astipod
ablicold,albicold
canil,carnil
utzib,autzib
auxica,auxicasp
clasm,clasym
atabist,atahist
cycooceta,cycloceta
aclotpl,aclotol
masiclav,amsiclav
ceteex,cetrex
xlomizil,clomizil
sbacus,abacus
bbicipro,bicipro
corphsn,corphen
boclot,bioclot
amloxer,amloser
colrrib,colrib
clavsmox,clavamox
afde,afderm
donram,conram
anatsro,anatero
cefdobactum,cefrobactum
blisdsrm,blisderm
cortisofr,cortisoft
asoirn,asorin
cefotheal,ceftoheal
celda,celdaz
bjopenem,biopenem
cianlwvo,cianlevo
zmbros,ambros
betaharr,betahart
cefoight,ceforight
aceclokkp,aceclokop
afaxim,avaxim
gro,agro
cetnik,cefnik
dipwwll,dipwell
cetboom,cefboom
cefhlid,cefulid
aziasgul,aziashul
axuitaz,auxitaz
cadoyril,cadotril
axcard,axicard
armf,armef
carkzen,carizen
cyrrator,cyrator
cigromint,cibromint
coljfen,colifen
abetprox,abetorox
bruvage,brufage
bramadll,bramadol
broshr,brosur
azlekon,azlemon
cevicom,cevicim
allykac,allymac
crinac,crinac
concerat,concerta
cyclofef,cyclofer
cialiw,cialis
aenwst,aenest
duregest,curegest
alooine,alopine
boncofixx,boncofix
acizoomm,acizoom
asjfen,asifen
abaatitor,abatitor
vetasin,betasin
ascaapr,ascapar
canfil,cantil
alufic,aluric
cefzone,cefyzone
clodsf,clodef
cefobaac,cefobac
cahsigra,cansigra
aclobo,acloboot
ampitm,ampitum
wmiraise,amiraise
ecojazole,econazole
apisra,apidra
adizeb,adizen
clntus,contus
ciitrikuf,citrikuf
arosase,arodase
adaan,adan
cilniheat,cilnibeat
aeflex,aceflex
etzoc,cetzoc
dilospas,dolospas
axoximr,axoxime
alphacopa,alphadopa
basjgine,basugine
stamax,atamax
aclevo,aflevo
cpiden,cipden
didpas,dispas
corzet,corset
citipib,citipin
abliff,ablif
aulnic,aulanic
broflrx,broflex
ecftirox,ceftirox
broncowun,broncowin
caczin,cafzin
aaoica,azoica
dikary,dikart
acizad,acizac
cefiltie,cefilite
wclozest,aclozest
drpmef,dromef
amoxonclv,amoxonclav
cidoline,cicoline
allarkz,allariz
indomethcin,indomethacin
azpraaz,azpraz
atrscurium,atracurium
aerotnet,aerothet
bortszom,bortezom
alziim,alzim
acotra,acotra
uarophenyl,aurophenyl
amcacal,acmacal
brockf,brocif
biarcid,bicarcid
albva,albba
alfagabs,alfagaba
sstreak,astreak
alreo,alero
clavsaj,clavsan
axqvic,axavic
andwzole,andazole
adpadihe,adpadine
coftton,cofton
actopime,bactopime
bitot,bitof
aamnex,amnex
barnzc,barnac
clmi,culmi
dobsutat,dobustat
apinol,capinol
acdol,aceol
baroheexy,barohexy
aneza,ameza
albifeb,albifen
akzibit,alzibit
viran,ciran
awta,atwa
caliigno,caligno
caijevol,cainevol
pldrixafor,plerixafor
baaeflox,baseflox
ciroxin,cifoxin
cefpraon,cefprajon
cjeckpod,checkpod
bodox,biodox
aansicalm,ansicalm
aclocir,aclovir
clomasole,clomazole
blahcid,blancid
caoofin,capofin
vefixirim,cefixirim
crfisword,cefisword
cifamed,cifamed
arrizith,arizith
acoezone,acorzone
ecpowel,cepowel
conizonr,conizone
cardinofa,cardinova
aadalipca,adalipca
cifzoone,cifzone
amosaan,amosan
bionrx,bionex
cadmoer,cadomer
arolr,arole
axycec,axydec
agisec,agidec
creicon,cericon
aceoplus,acetoplus
clavaok,clavwok
balocin,baloxin
antif,antif
calnis,calmis
acnerof,acnerod
smigo,amigo
atnoo,atnol
aadopin,adopin
bravocllav,bravoclav
copon,colon
clindsue,clindsure
acedloaid,acecloaid
azip,azipix
iklin,biklin
deepo,depo
besle,besole
cefentq,cefenta
clindkt,clindot
scecaine,acecaine
autadl,autadol
arozzim,arozim
akore,amore
aaxus,axus
cetrinz,cetrina
coinzer,clinzer
aozith,alzith
cefitruee,cefitrue
aeeloxim,aeloxim
cypol,cyplol
azivi,azivil
zspod,aspod
imol,azimol
avoslone,avsolone
enzispot,benzispot
anlevo,cianlevo
cdohex,crohex
anitdr,aniter
caaniten,caniten
bduimist,budimist
chymorrax,chymorax
anlatra,analtra
cloninova,clominova
aediof,aediof
hricof,bricof
drinis,dronis
fomcet,comcet
doxxofylline,doxofylline
rolem,arolem
agrocio,agrocip
cadiplet,cardiplet
betalwr,betalar
bomxold,bomcold
ipcef,cipcef
ceganj,cetanj
colibeat,colibest
fombiflam,combiflam
azoprik,azoprim
axibon,azibon
cecitus,cefitus
adnnorif,adnorif
clldfri,coldfri
clavoric,clavorid
duuxet,duxet
delacotr,delacort
arim,arimox
corl,corlin
diltiacr,diltiact
anaspzr,anaspar
coolostrum,colostrum
cypries,cyprise
calpo,calpodd
croacce,croace
ayztel,ayatel
daunoetc,daunotec
bidtrex,birtrex
ceflis,ceflis
chosltat,cholstat
cqrdigo,cardigo
aphyine,aphyline
dsroxy,deroxy
aplroxen,alproxen
amocible,amoxible
amrozine,ambrozine
baeaclude,baraclude
nace,anace
aclorext,aclorest
xarvigal,carvigal
coniprax,conipraz
fetum,cetum
micfungin,micafungin
chidrto,chidrot
caanison,canison
dobutsat,dobustat
thrombib,thrombin
ceftrinz,ceftrina
qdabor,adabor
avigaan,avigan
ssicef,asicef
acelwse,acelase
axivue,acivue
amolyck,amoluck
acican,acicant
albedr,albeder
armevo,amrevo
acophneo,acopheno
fefipower,cefipower
bwntel,bentel
angisde,angised
auvust,august
almerzik,almerzil
cyprofiit,cyprofit
awcotus,ascotus
airich,aurich
amoxyroj,amoxyron
carlyomx,carlymox
caerich,acerich
afedaz,acedaz
lson,alson
hdoom,dhoom
nextil,bextil
andoxike,andoxime
abnjb,abnib
cefoef,ceforf
atsnotus,atenotus
aito,azito
bizine,biozine
augmex,augmed
axtram,actram
dipeptiveen,dipeptiven
aziyex,aziyes
atrodax,atrodac
abrbolin,barbolin
nrikuff,brikuff
conanc,conand
cummoxi,cumoxi
artrfan,artefan
brnfree,burnfree
bear,belar
aprater,alprater
beokam,brokam
axoabct,axobact
ccoolapp,coolapp
ciproonat,cipronat
cetkine,cetmine
acciita,accivita
broocld,brocold
fulid,cefulid
chpandal,cypandal
sanac,asnac
cyclowafe,cyclowave
clonaprio,clonapril
broxt,broxtar
ceefcpa,ceefcap
bpluss,bplus
triioxasalen,trioxasalen
bidect,bisect
abmont,abmont
imidapirl,imidapril
azeenjte,azeenite
audti,aucti
uromed,curomed
cholergll,cholergol
bqcmox,bacmox
citafije,citafine
dyxmen,dysmen
cdfpan,cefpan
avhpylline,avphylline
cefurovli,cefurovil
atrons,atrona
alkatech,alkatech
combundx,combunex
carodl,cardol
coolbol,colbol
cdta,ceta
clavim,clavom
citiw,citiwat
rvela,corvela
wlvikof,alvikof
cycolitte,cycolite
azelasyine,azelastine
cefpovrc,cefpovec
coodorest,coldorest
clinn,clin
akakast,alakast
cphone,ciphone
avilprp,avilpro
branqm,branam
ecet,cecet
aieway,airway
ceron,cedon
clotszole,clotazole
cloxiplud,cloxiplus
akdnm,akenm
cotl,cotil
alser,alser
coob,clob
clavoll,clavol
qnaquin,anaquin
colicte,colicet
cefocilt,cefocolt
brirgel,brigrel
zdzin,adzin
anicl,aniclov
hytrozym,chytrozym
bactogqrd,bactogard
hrorab,brorab
conet,cronet
camlpax,calmpax
centtic,centric
aasuch,azsuch
clonvoa,clonova
agnlocip,anglocip
artea,arteq
conjt,conit
alzotime,alzotime
braee,brase
arttic,artic
cafzibo,carzibo
abspas,anspas
atrif,atric
arittyp,aritryp
acsmic,acemic
gardazi,bardazi
binavid,binacid
kindane,lindane
cilroben,ciproben
campicillin,campicillin
bfezatel,brezatel
conupraz,conipraz
azipjx,azipix
aazvas,azvas
nortecad,bortecad
aromits,aromita
angiwell,angiwell
cfpos,cfpod
cdefhap,ceefhap
curox,cudrox
ceftjone,ceftione
aitrazooe,aitrazole
amsux,amsus
bdab,bdrab
chrmofit,chemofit
sarison,saridon
aziclean,aziclean
albeder,albeder
sgicort,agicort
clooset,closet
cspri,capri
alprahi,alprahil
creaeme,creamee
duloz,dulox
abdoxni,abdoxin
bithlim,bitglim
filgrasim,filgrastim
asdob,asdon
clopis,clopisim
xapitab,capitab
balotain,balorain
chjny,chiny
bikbend,biobend
clarbilu,clariblu
arteenal,arteemal
aripiprazolr,aripiprazole
benic,beniv
cpanate,cipanate
baacrite,bacrite
cipromdd,cipromed
ciprilon,ciprolon
acejas,acejas
canias,caniss
athrin,arthrin
cazjta,cazita
aliclaair,aliclair
amrace,amgrace
buzag,busag
cheeemox,cheermox
fanazole,canazole
asuvas,azuvas
bibc,bibcob
zsvasin,asvasin
acatvir,actavir
wnzicyp,anzicyp
orvas,corvas
aligne,algine
ateevin,arteevin
blucdi,blucid
aziphl,aziphlox
ciprofrex,ciprofred
cincay,cinvay
cfotrex,cifotrex
alkolin,alkolin
getawok,betawok
alcal,calcal
captogen,caprogen
candodal,candidal
clavbdl,clavbel
blylin,blulin
fljorescein,fluorescein
casdkl,casdol
cilma,cilmax
clsdomox,cledomox
cyclonase,cyclonase
anacud,anacuf
scbenz,acbenz
scecloud,acecloud
vlixel,clixel
xoxwin,coxwin
astle,astel
cognez,cognex
cforaj,cofraj
brainxo,brainox
bioomik,biomik
cromkex,crommex
pyrjtinol,pyritinol
pespin,pepsin
abiquin,abiquin
anzfeee,anzfree
dobkin,cobkin
bkomcid,boomcid
qllmet,allmet
aitcokie,aitcolie
dedcpm,dexcpm
lawa,alwa
cysont,cysmont
bactolid,bactilid
estradkol,estradiol
olivon,colivon
bladmr,bladmir
amloqin,amlowin
danolazine,ranolazine
cekdaz,celdaz
axerbit,acerbit
flary,clary
cubmak,cumbak
cipfone,ciptone
vrel,crel
cipfofast,ciprofast
ciocol,cipcol
celoac,celonac
caalmgut,calmgut
brzen,bruzen
byepit,byepif
ccadoz,cadoz
clofrmol,clofemol
biopprate,bioprate
btkal,betkal
tirox,astirox
ceracel,cefacel
cefpoeor,cefpodor
cefuzli,cefuzil
oclbastat,colbastat
hydrochlofide,hydrochloride
cloka,cloma
csfatax,cefatax
alefvin,alervin
ciduroc,ciduric
clarianse,clarinase
lamitak,almitak
cremzen,cremazen
brokknd,brokind
codi,codica
cinarixe,cinaride
cutijoy,citijoy
ataoo,atalo
centrdol,centradol
crwviz,craviz
adoatat,adostat
axavkc,axavic
cilrotac,ciprotac
cdrgo,cergo
xabax,xanax
qplomin,aplomin
xazin,cazin
astasin,astawin
akikl,akiko
bibccob,bibcob
wzithar,azithar
cangof,cantof
cfiez,cefiez
bisohix,bisohox
betaron,betaron
calkjoy,calljoy
clvestrant,celvestrant
cefiboon,cefiboon
commbitaz,combitaz
avfu,avflu
chymoorot,chymoroot
atapo,atalo
ctimore,citimore
alenmpl,alenmol
citaswiss,citaswiss
vitacef,avitacef
cefst,cefast
ceost,ceost
divin,dovin
altris,altrix
brotriz,brotriz
curoximd,curoxime
adeflsm,adeflam
aptifrezh,aptifresh
cerscope,cefscope
aicron,azicron
aazitom,azitom
cytofalm,cytoflam
cetipy,cefipy
achniil,achnil
amon,amcon
aldifhhr,aldifuhr
aolbyd,alobyd
cytarwbine,cytarabine
amikamic,amikanic
alcostqr,alcostar
ciprobzrd,ciprobard
svoban,avoban
apcl,apclox
coldiic,coldinic
artofer,artifer
atopin,atopin
clzia,cliza
dolmaide,dolamide
asgnim,astnim
xefimun,cefimun
ayvas,atvas
qboheal,aboheal
clogsafe,clotsafe
clpcure,clocure
clatouch,caltouch
erotader,drotader
acefap,acerap
cefoxrox,cefodrox
cyporlyn,cyprolyn
ahatel,ayatel
qumanso,aumanso
cefashn,cefasyn
icticor,citicor
cefurex,cefirex
bteanac,betanac
axecne,azecne
coffwel,coffwell
clavicire,clavicure
amclea,amclear
csar,cosar
cftosag,ceftosag
saomax,asomax
agopridde,agopride
azispax,azispac
adkpostat,adipostat
alprosum,alprosym
clavamo,clavamox
delfan,deflan
cetnsr,cetnar
zulpiride,sulpiride
cefiveew,cefivew
aedickn,aedicin
chemidred,chemidrex
celkde,celide
bdtaz,betaz
behclox,beyclox
acecod,acecold
besrocid,bestocid
alolite,alzolite
britered,britered
benease,bendase
anxico,anxicool
azjmathro,azimathro
bioctistin,biocristin
cecloe,ceclor
alkaax,alkamax
azira,aziray
hydeotalcite,hydrotalcite
fford,cefford
bbetzon,betzon
cyplzit,cypozit
ampjloxc,ampiloxc
bexol,besol
averrtz,avertz
appri,appride
belmo,belmoz
clopin,clopinox
acbgon,cabgon
enzac,benzac
anyec,antec
clodims,clodime
azinkga,azinkya
cdox,codox
aven,acen
varz,carz
bimro,bimto
cobirus,cobitus
brinox,brimox
apatzone,aptazone
cefotzil,ceftozil
aloicn,alocin
cefiizest,cefizest
cellodate,celodate
qmlotek,amlotek
cetibiz,cetiviz
adlonac,aclonac
ceficcay,ceficacy
csfugreen,cefugreen
clonsyc,clonsyc
civoryl,cilvoryl
amolclavr,amolclave
aminophyllime,aminophylline
charfoal,charcoal
cifloxicn,cifloxcin
bemcolic,bencolic
atrolwt,atrolet
credpox,credpod
ajong,among
axdoxom,axdoxim
ciptus,ciprus
atam,axtam
csrtimet,cartimet
citriva,citrova
afris,acris
baxort,baxcort
bdenuron,beenuron
celid,celzid
alvocast,alvofast
amlovrex,amlobrex
clavaar,clavsar
aesar,caesar
cycloean,cycloran
burnyit,burnhit
svmox,avmox
ashyloflam,ashycloflam
puenolphthalein,phenolphthalein
aclridol,calridol
conavio,conavik
azeeripf,azeeript
amopog,amopot
dydogesterone,dydrogesterone
amisr,amist
aaesmin,aesmin
bruider,bruiser
chyymosurge,chymosurge
cadnadkn,cadnadin
cisaprice,cisapride
dvalex,divalex
cfen,acfen
coldmef,coldmed
belgewt,belgest
ammbrohist,ambrohist
qfanat,afanat
anize,anizerm
aclof,aclofen
curennerve,curenerve
acwwel,acewel
btcephql,btcephal
wnol,anol
akmirer,akmiret
fpogle,cefpogle
cjrocef,curocef
btonyl,bronyl
biolcop,bioclop
cowfsh,coefsh
crodarone,cordarone
amoxypog,amoxypot
albkeos,albekos
bioli,biolide
cdfiglen,cefiglen
coavorid,clavorid
aepride,adpride
actirxe,actirex
corec,cordec
bilfen,biofen
coffacct,coffact
primqquine,primaquine
arepat,arepar
ahabjr,ahabir
ndicap,candicap
aziid,azifid
clkndaily,clindaily
dailhglim,dailyglim
amitus,anitus
arln,arlan
barnnac,barnac
acrworld,aceworld
colvel,colvel
aliffit,alifit
cadioar,cadipar
cepodc,cepodac
exon,dexon
cainmox,cianmox
paradichlorobebzene,paradichlorobenzene
afvin,acvin
caerac,acerac
crypod,carypod
clobava,clobavate
dozil,cozil
amciet,amicet
cadoriil,cadoril
aconge,acongest
wxollin,axollin
chlorotzme,chlorotame
atvad,atvas
bextrro,bextro
clobixal,clobisal
aircef,aricef
metaaxalone,metaxalone
beatmp,betamp
cinflpx,cinflox
betasine,betazine
comvitel,combitel
disiron,diziron
catkbar,catobar
cofdsnce,cofdence
allerdst,allerdest
alurd,alurid
aflresh,alfresh
acetaetn,acetaent
cosotra,cositra
akirox,amirox
aceclogesic,aceclogesic
cqlinn,cqlin
dacoose,dacloose
cloaen,clozen
amzzi,amzi
clociral,cloviral
bayufab,bayurab
alnaros,alnaros
drownl,drownil
bolotaax,bolotax
clozope,clozole
azifqst,azifast
aarnether,aarbether
carafik,carafil
axtip,axtrip
cintrol,control
aadiuretin,adiuretin
ciprootam,ciprotam
andulanaad,andulanaac
appocin,apocin
zoniwamide,zonisamide
falcinex,dalcinex
aceflomed,aceclomed
coolfin,colfin
cromus,acromus
bclofen,baclofen
alkaze,alkazen
cadceef,cadcef
ceftroxiv,ceftroxiv
crozit,cyrozit
bsuvolt,beuvolt
arredine,artedine
cephaxakn,cephaxain
fitlin,citlin
cepocjre,cepocure
acmtil,camtil
dakarin,daktarin
hison,bison
aserta,aderta
blufee,blufree
desidustatt,desidustat
aina,azina
cefuycclo,cefucyclo
amro,amroz
burpexx,burpex
cogintum,cognitum
akzom,alzom
azaire,azaire
axttum,axtrum
allecort,alecort
azihac,azinac
alfq,alfa
corttent,cortent
lmasis,colmasis
zurizol,aurizol
cilbloc,cilblock
apdigesic,aldigesic
bilm,bilmox
holate,bolate
azacutm,azactum
azzista,azista
arpaxe,aripaxe
cyyaba,cygaba
aaivox,azivox
anflam,aniflam
amlwoel,amlowel
citilig,citiliv
albaco,albacot
citomin,citonin
azienna,azicenna
chprotis,cyprotis
citapurs,citapure
biriv,cibiriv
benditer,bendifer
dooxmax,doxomax
amcf,amcef
aclactt,aclact
civtab,ciftab
citilex,citilex
candiikrus,candikrus
affiinus,affinus
bimous,biomus
amacaine,almacaine
ceftrinje,ceftrinject
amoneex,amonex
curwgest,curagest
csftracef,ceftracef
cardyfine,carryfine
ctyoglim,cytoglim
apwgrel,apagrel
bacotff,bactoff
cpindahit,clindahit
alloxin,aloxin
atolr,atolf
amphkclav,amphoclav
avllodin,avlodin
core,corect
ceftpzom,ceftozom
akud,akudol
coxpried,coxpride
acitreag,acitreat
biichemdryl,biochemdryl
nendabet,bendabet
rear,dear
canvoy,canvog
betarixh,betarich
cljmbazole,climbazole
aasrapime,asrapime
cecfoff,cefcoff
czposib,caposib
qldicam,aldicam
dlobazed,clobazed
clatoff,claroff
aambilon,ambilon
choramax,chloramax
wrtemisin,artemisin
smitus,amitus
afymoc,afymox
azipixx,azipix
amsatt,amstat
bosneat,bosenat
xarvidex,carvidex
aroxli,aroxil
canklen,cankleen
caabgolin,cabgolin
cyreclav,cureclav
clfura,cofura
aabifix,abifix
cefoil,cefpil
chpdor,cypdor
avex,alvex
clohelar,clobelar
racemethionins,racemethionine
cllimox,cillimox
bilopinr,bilopine
coeclin,corclin
cadpade,cadpace
alkalij,alkalin
adityro,adithro
azigrin,azigron
clinegn,clingen
cefdrsh,cefdrish
olristat,orlistat
betasl,betasal
avmeon,avmeron
cain,cian
defor,defort
cobairc,cobaric
anaazith,anazith
cyyclobid,cyclobid
ccrestum,crestum
colit,colcit
aciveh,aciven
chlodx,chlorx
drot,cudrot
diool,diovol
clozmdt,clozmet
brrogus,brogus
cytel,cutel
cyyrozit,cyrozit
apirse,aprise
chokfo,chomfo
centaprrs,centapres
allsec,allsef
axeoant,axelant
clintlp,clintop
qcit,acit
aviceef,avicef
giladrive,biladrive
bkipra,blipra
cfraz,cefraz
clavistat,clavistar
cheditop,cheritop
corcllin,corclin
dspatab,dapatab
aboben,abiben
nladon,bladon
aibcet,abicet
cinzac,cinazac
abrnac,barnac
azimmont,azimont
xipmin,cipmin
bestosulff,bestosulf
acebtomed,acebromed
ciinaver,cinaver
crommox,cromox
clooino,clopino
flluorometholone,fluorometholone
dynafotd,dynaford
clopikinnd,clopikind
betacirtril,betacortril
cprduo,corduo
maark,amark
ampenem,amopenem
crita,critax
arummin,arumin
athoderm,athoderm
akufllox,akuflox
citrab,citrabet
cyclopide,cyclopride
azi,alzi
celetoih,celetoin
chemitil,chemitol
afnno,afno
cheritech,cheritech
adeobe,adeone
alpsas,alspas
tropicamdie,tropicamide
cepoxac,cepodac
cdystalka,crystalka
albaconn,albacon
cetrolox,cetrolix
beteapa,beteala
atim,atom
qmcan,amcan
cpin,clin
wmiktam,amiktam
aeroclaf,aeroclav
clavn,clavno
btod,btpod
adicun,adicin
azeoon,azeon
cosiclab,cosiclav
aldunir,aldinir
cillib,cillin
cliinivib,clinivib
camine,camfine
acollin,acrollin
amilred,amipred
ceafcel,cefacel
acili,acilix
cadfol,cadflo
nizatiine,nizatidine
acihenicol,aciphenicol
ponic,ceponic
bladoh,bladon
aefocin,aerocin
atoram,atoran
cypfine,cypdine
aziemk,aziemm
clacilon,clavilon
smbex,ambex
bbevac,bevac
buocld,bucold
dney,cidney
clavt,clact
czdn,czen
curamtcin,curamycin
cadiigran,cadigran
alferai,alferia
corcd,corcid
cefstril,cefstrip
crojivir,cronivir
aee,aece
cintinuri,continuri
dinax,cinax
ceelomer,celomer
amoxjva,amoxiva
